,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Female,Misdemeanor,Two_yr_Recidivism
1,0,0,0,0,1,0,0,1
2,4,0,0,1,1,0,0,1
4,14,1,0,0,0,0,0,1
6,0,0,0,0,0,1,1,0
7,0,0,0,0,0,0,0,0
8,3,1,0,1,1,0,1,1
9,0,0,0,0,0,1,1,0
10,0,0,0,0,1,0,0,0
11,1,0,1,0,0,1,0,1
12,7,0,0,0,1,0,0,1
14,3,1,0,0,1,0,0,0
15,6,1,0,0,0,0,0,1
16,5,0,0,0,0,0,0,1
17,13,1,1,0,1,0,0,1
18,1,1,0,1,1,0,0,1
19,0,0,0,0,0,0,1,1
20,0,0,0,1,0,1,0,0
22,1,0,0,0,0,0,1,0
24,8,0,0,0,1,0,0,1
25,5,1,0,0,1,0,0,1
26,0,1,0,0,1,0,0,1
27,9,1,0,0,0,0,0,1
28,4,1,0,0,1,0,0,1
29,0,0,1,0,0,0,0,0
31,4,1,0,0,0,1,1,1
32,1,0,0,1,0,0,1,1
33,21,1,0,0,1,0,0,1
34,0,0,0,0,0,0,1,0
35,2,1,0,1,1,1,0,0
36,2,0,1,0,1,0,1,0
37,2,0,0,0,0,0,1,1
38,7,0,1,0,1,1,0,0
39,0,1,0,0,1,0,0,1
40,9,1,0,0,0,0,1,1
41,13,1,0,0,1,0,0,1
42,0,0,1,0,0,0,1,0
43,0,0,0,0,1,0,0,0
44,1,0,0,0,0,0,0,1
46,15,1,0,0,1,0,0,0
47,2,0,0,1,1,0,0,1
49,4,0,1,0,1,0,1,0
50,8,1,1,0,0,0,0,0
51,5,0,0,0,1,0,0,0
52,15,1,0,0,1,0,0,1
53,4,0,0,0,0,0,1,1
54,1,0,0,1,1,0,0,1
55,4,1,0,0,1,0,0,1
57,6,1,0,0,1,0,0,1
59,0,0,1,0,1,1,1,0
62,1,0,0,0,1,0,1,0
63,5,1,0,0,1,0,0,1
64,1,1,0,0,0,0,0,1
65,2,0,0,0,1,0,0,0
66,1,0,0,1,1,0,1,1
67,0,1,0,1,0,0,0,0
68,1,0,0,0,1,1,0,1
69,0,0,0,0,1,0,0,0
70,1,0,0,0,1,0,1,0
71,8,1,0,0,1,0,1,1
73,14,1,0,0,1,0,0,1
75,2,1,0,1,1,0,0,1
76,1,0,0,0,1,1,1,0
77,9,1,0,0,1,0,0,1
78,7,1,0,0,0,0,0,1
80,9,1,0,0,0,0,0,1
81,0,1,0,1,0,1,0,0
82,2,0,0,0,0,0,0,1
83,0,0,1,0,0,1,1,0
85,1,0,0,1,1,0,1,1
86,1,0,0,0,1,0,0,0
87,0,0,0,0,0,1,0,1
88,8,1,0,1,0,0,0,1
89,0,0,0,0,0,0,0,0
90,0,1,0,0,0,0,1,0
91,1,0,0,0,0,1,0,0
92,1,0,0,0,0,0,0,0
93,3,1,0,1,1,0,0,1
94,5,0,0,0,0,0,1,1
95,0,1,0,0,0,0,0,0
96,5,1,0,0,1,0,0,1
97,3,0,0,0,1,0,0,0
98,1,0,0,0,0,0,0,1
99,10,1,0,0,1,0,0,1
100,0,0,0,1,1,0,0,1
101,28,1,0,0,1,0,0,1
102,1,1,0,0,1,0,1,0
104,13,1,0,0,0,0,0,1
105,3,1,0,0,1,0,0,1
106,3,1,1,0,0,0,1,0
107,19,1,0,0,1,0,0,1
108,6,0,0,0,0,0,0,0
109,2,0,0,0,0,1,0,0
110,1,0,0,0,0,0,1,0
112,0,0,0,0,0,0,1,1
113,0,0,0,1,1,1,1,0
114,10,0,0,0,0,1,0,1
115,2,0,0,0,0,0,1,1
116,3,1,0,0,1,0,0,1
117,2,0,0,0,0,0,1,1
118,1,0,0,0,1,0,1,0
119,1,0,1,0,0,0,0,1
120,1,1,0,1,1,1,0,0
121,0,0,0,0,0,1,1,0
122,9,1,0,0,1,0,0,1
123,11,1,0,0,1,0,0,1
124,8,1,0,0,1,0,1,1
125,0,0,0,0,1,1,0,1
126,7,1,0,0,1,1,0,1
127,2,1,0,0,1,0,0,1
128,0,1,0,1,1,1,0,0
129,0,1,0,0,0,1,1,0
130,1,0,1,0,1,1,0,1
133,4,1,0,0,1,1,0,1
135,2,0,0,0,1,1,1,1
136,1,0,0,0,0,0,1,0
137,3,1,0,0,0,1,0,1
138,1,1,0,0,1,0,0,0
139,2,0,1,0,0,0,1,0
140,1,0,0,1,1,0,0,0
141,6,0,1,0,0,0,0,1
142,0,1,0,0,0,0,0,0
143,1,0,0,0,1,0,1,1
145,5,1,0,0,1,1,0,0
147,8,0,1,0,1,0,0,0
149,6,1,0,0,1,0,1,1
152,1,0,1,0,0,0,1,1
153,0,0,1,0,0,0,0,0
155,1,1,0,1,1,0,0,1
156,23,1,1,0,1,0,1,1
157,0,0,0,1,1,0,1,1
159,3,0,1,0,1,0,0,0
160,8,0,1,0,0,0,1,1
